,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
146,0,-2.522141,-84.197533,1153.14917,-184.383087,-526.65686,118.541626,80.302597,-202.251755,105.021339
147,0,-3.857666,-84.548645,1152.663574,-183.564285,-533.541992,120.143517,80.190735,-197.445801,105.044327
148,0,-5.252267,-84.892174,1152.090454,-182.408539,-538.697876,121.366089,80.063019,-192.721466,105.106468
149,0,-6.814452,-85.325294,1151.444092,-181.177994,-542.202209,122.186394,80.022888,-187.941711,105.178566
150,0,-8.416897,-85.857788,1150.760132,-179.670303,-544.40509,122.578842,80.114441,-183.021988,105.240097
151,0,-10.226874,-86.531639,1150.036255,-177.799652,-544.973572,121.774338,80.261673,-178.02594,105.298317
152,0,-12.073517,-87.275093,1149.275879,-175.628799,-544.117554,119.843796,80.400055,-173.059601,105.363541
153,0,-14.104934,-88.113014,1148.519897,-173.419647,-541.553223,116.531898,80.526459,-168.200882,105.416725
154,0,-16.261414,-89.075027,1147.786499,-171.733093,-538.299988,112.844597,80.64447,-163.499588,105.437759
155,0,-18.56901,-90.114357,1147.080811,-170.947876,-535.028687,110.224594,80.745461,-158.91835,105.437973
156,0,-20.91828,-91.190689,1146.373291,-170.996353,-531.928162,107.661568,80.803185,-154.342758,105.423683
157,0,-23.351641,-92.200272,1145.746582,-171.776352,-529.695374,103.991898,80.829971,-149.73764,105.397705
158,0,-25.68351,-93.26033,1145.172974,-172.804825,-528.244934,99.661942,80.909302,-145.207672,105.392891
159,0,-27.978132,-94.371437,1144.759399,-172.960617,-526.869446,96.758362,81.087166,-140.852463,105.427795
160,0,-30.154587,-95.463303,1144.589111,-171.973389,-522.906006,96.227234,81.32457,-136.678802,105.475685
161,0,-32.374775,-96.55928,1144.745239,-171.093689,-518.096252,96.54792,81.578659,-132.662872,105.514732
